Items navne,Description,Type,kcal,Kulhydrat (g),Protein (g),Fedt (g),CO2e
Mælk 1L,Mini mælk,Refrigerator,380,47,35,5,0.55
Smør 200g,Smør saltet,Refrigerator,1432,0.2,1.8,162,0.77
Hakket oksekød 500g,5-10% fedt,Meats,1120,0,96.5,80,20.6
Æg 10stk,Skrabeæg,Refrigerator,832,6.6,73.8,57,0.59
Ost 500g,Danbo ost,Refrigerator,1585,4,116,125,3.32
Kyllingekød 500g,Bryst kød og skind,Meats,745,0.5,108,35,2.59
Creme fraiche 500g,18% fedt,Refrigerator,933,14.5,14,93,0.93
Kikærter 400g,Konserveskikærter,Preserves,453,48,28.8,9.2,4
Flødeis 1L,Vanilje,Refrigerator,1551,277,40,30,2.91
Yoghurt 1L,Naturel sødmælk,Refrigerator,624,45,34,35,0.65
Frysepizza,Oksekød tomat og ost 420g,Frozen,1085,123.9,49.6,41.2,1.82
Havregryn 1kg,Havregryn,Preserves,3683,570,142,67,1.48
Agurk 300g,1 Agurk,Groceries,36,5.4,2.1,0,0.11
Kartofler 1kg,Kartofler,Groceries,779,159,20,0.9,0.39
Salat 100g,1 Iceberghovede,Groceries,16,2.4,0.8,0.1,0.04
Toastbrød 300g,Fint hvedebrød,Bakery,772,141,26.1,8.4,0.28
Rugbrød 500 g,Fuldkornsrugbrød,Bakery,1007,185,27.5,7,0.4
Ærter 1Kg,Frosne ærter,Frozen,684,50,57,9,1.52
Spinat 500g,Frossent hakket spinat,Frozen,129,11,10.5,2.5,0.29
Bønner 500g,Frosne bønner,Frozen,147,14,11,1.5,0.86
Kødboller 500g,Frosne okse/gris kødboller,Frozen,811,45,52.5,47,6.61
Hindbær 200g,Frosne hindbær,Frozen,76,15.4,2.4,0.8,0.22
Jordbær 200g,Frosne jordbær,Frozen,39,12.6,0,0,0.11
Bacon 100g,Bacon i skiver,Frozen,424,0,13,42,0.64
Tortillabrød 300g,Tortillabrød hvede,Bakery,760,148.8,22.8,4.8,28
Grovboller 8stk,Grovboller 500g,Bakery,1442,247,52.5,20,0.47
